Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5HomeOver2.5Perc,HomeOver2.5Perc,HST,Last5HomeOver2.5Count,AwayOver2.5Perc,MaxAHH,AST,PredictedTotalCorners_Last5,AvgLast5AwayGoalsScored,MaxC_gt_2.5,AvgHomeCorners,AvgLast5HomeCornersConceded,AvgLast5AwayCorners,HF,AvgLast5HomeCorners,HS,AvgLast5AwayGoalsConceded,PredictedTotalCorners,Last5AwayOver2.5Perc,PAHA,PredictedHomeCorners,Last5AwayOver2.5Count,AvgLast5AwayCornersConceded,AvgAwayGoalsScored,B365CAHH,AvgHomeGoalsScored,AvgAwayCornersConceded,AvgLast5HomeGoalsScored,PredictedAwayCorners,AvgLast5HomeGoalsConceded,Over2.5,OverUnder10.5Corners
2022-08-13,D1,14:30,Leverkusen,Augsburg,A,D,2022/2023,100.0,70.59,10.0,1.0,70.59,1.93,4.0,10.0,2.0,1.45,4.71,3.0,3.0,7.0,7.0,23.0,1.0,9.82,100.0,2.01,5.3,1.0,7.0,1.53,2.04,2.06,5.24,1.0,4.52,2.0,1,0
2022-08-27,D1,14:30,Hoffenheim,Augsburg,H,H,2022/2023,50.0,70.59,6.0,1.0,70.59,2.01,1.0,10.5,1.0,1.47,5.59,4.0,4.5,14.0,6.0,24.0,1.0,10.71,50.0,1.93,5.53,1.0,5.5,1.53,1.85,1.65,5.24,2.0,5.18,1.0,0,0
2022-09-09,D1,19:30,Werder Bremen,Augsburg,A,D,2022/2023,66.67,70.59,6.0,2.0,70.59,2.05,5.0,8.66,1.0,1.61,2.88,6.33,5.33,12.0,3.33,11.0,0.67,9.15,33.33,2.05,3.69,1.0,4.67,1.53,2.02,1.53,5.24,1.67,5.46,2.33,0,0
2022-10-02,D1,16:30,Schalke 04,Augsburg,A,A,2022/2023,100.0,70.59,5.0,4.0,70.59,2.02,5.0,10.25,1.5,1.85,5.47,5.25,5.0,11.0,5.25,16.0,1.0,10.79,50.0,1.93,5.39,2.0,5.5,1.53,1.88,1.35,5.24,2.0,5.4,3.0,1,1
2022-10-16,D1,14:30,FC Koln,Augsburg,H,A,2022/2023,60.0,47.06,6.0,3.0,70.59,1.9,3.0,11.4,1.6,1.66,6.88,6.2,4.6,11.0,6.8,14.0,1.4,11.35,60.0,2.03,6.31,3.0,5.4,1.53,2.0,1.65,5.24,1.8,5.04,1.2,1,0
2022-10-29,D1,14:30,Stuttgart,Augsburg,H,D,2022/2023,60.0,47.06,8.0,3.0,70.59,2.11,6.0,10.0,1.4,1.61,5.0,4.4,4.6,7.0,5.4,31.0,1.6,10.34,60.0,1.89,5.2,3.0,6.0,1.53,1.89,1.35,5.24,1.6,5.14,1.4,1,1
2022-11-09,D1,19:30,Union Berlin,Augsburg,D,D,2022/2023,40.0,47.06,6.0,2.0,70.59,2.0,2.0,9.2,1.8,2.14,5.29,4.8,4.0,7.0,5.2,18.0,1.8,10.55,80.0,1.94,5.38,4.0,6.4,1.53,2.0,1.76,5.24,1.8,5.17,0.8,1,0
2023-01-22,D1,14:30,Dortmund,Augsburg,H,D,2022/2023,80.0,82.35,10.0,4.0,70.59,1.92,4.0,10.4,2.2,1.43,6.35,3.2,3.2,6.0,7.2,27.0,2.6,10.78,100.0,2.05,6.24,5.0,7.2,1.53,1.9,3.24,5.24,3.0,4.54,1.0,1,0
2023-01-28,D1,14:30,Freiburg,Augsburg,H,H,2022/2023,40.0,41.18,9.0,2.0,70.59,1.9,4.0,7.8,1.8,1.92,3.94,3.2,3.8,14.0,4.0,15.0,2.8,9.09,100.0,2.08,4.5,5.0,6.2,1.53,1.86,1.65,5.24,2.4,4.59,0.6,1,0
2023-02-11,D1,14:30,Mainz,Augsburg,H,H,2022/2023,80.0,64.71,7.0,4.0,70.59,1.86,3.0,10.2,1.6,1.78,4.47,4.6,5.6,12.0,4.6,13.0,2.8,9.84,100.0,2.06,4.83,5.0,6.0,1.53,2.08,1.82,5.24,2.0,5.01,1.8,1,1
2023-02-25,D1,14:30,Hertha,Augsburg,H,D,2022/2023,40.0,47.06,3.0,2.0,70.59,1.91,2.0,11.0,1.4,1.96,4.76,4.6,6.2,16.0,4.8,11.0,2.8,10.21,80.0,2.05,4.83,4.0,4.2,1.53,1.84,1.41,5.24,1.6,5.38,1.6,0,0
2023-03-11,D1,14:30,Bayern Munich,Augsburg,H,H,2022/2023,60.0,64.71,9.0,3.0,70.59,1.95,6.0,14.6,1.6,1.22,8.24,4.4,6.6,8.0,8.0,24.0,3.4,11.99,80.0,2.0,7.1,4.0,4.6,1.53,1.87,3.12,5.24,2.6,4.89,1.0,1,1
2023-04-01,D1,14:30,Wolfsburg,Augsburg,D,A,2022/2023,80.0,76.47,5.0,4.0,70.59,2.11,2.0,11.4,1.4,1.72,4.82,5.2,7.4,9.0,4.0,23.0,3.0,10.28,80.0,1.84,4.76,4.0,4.0,1.53,2.0,2.0,5.24,1.4,5.52,2.4,1,1
2023-04-15,D1,14:30,RB Leipzig,Augsburg,H,H,2022/2023,100.0,76.47,6.0,5.0,70.59,1.94,3.0,11.4,1.6,1.53,4.76,3.8,7.0,8.0,4.4,13.0,3.0,9.78,80.0,1.99,4.77,4.0,4.0,1.53,2.01,2.24,5.24,1.8,5.01,1.6,1,0
2023-04-29,D1,14:30,Ein Frankfurt,Augsburg,D,H,2022/2023,0.0,52.94,1.0,0.0,70.59,1.97,3.0,13.6,1.6,1.66,5.94,3.0,6.0,6.0,7.6,7.0,2.6,10.61,60.0,2.0,5.76,3.0,4.2,1.53,2.0,2.06,5.24,1.2,4.85,0.8,0,1
2023-05-13,D1,14:30,Bochum,Augsburg,H,D,2022/2023,60.0,64.71,8.0,3.0,70.59,1.9,2.0,12.2,2.0,1.82,5.0,6.4,6.2,13.0,6.0,15.0,2.8,10.8,80.0,2.01,5.2,4.0,5.4,1.53,1.99,1.65,5.24,1.6,5.6,2.2,1,1
2023-05-27,D1,14:30,M'gladbach,Augsburg,H,H,2022/2023,20.0,52.94,7.0,1.0,70.59,1.94,3.0,11.6,1.4,1.49,5.0,4.4,6.0,5.0,5.6,17.0,2.2,10.17,60.0,1.97,5.08,3.0,4.6,1.53,2.01,1.94,5.24,1.6,5.09,0.6,0,0
2023-08-27,D1,16:30,Bayern Munich,Augsburg,H,H,2023/2024,100.0,70.59,6.0,1.0,64.71,2.1,2.0,14.0,1.0,1.19,7.24,4.0,4.0,13.0,10.0,19.0,3.0,11.62,100.0,1.81,7.38,1.0,10.0,1.41,2.0,3.12,5.59,3.0,4.24,1.0,1,1
2023-09-16,D1,14:30,RB Leipzig,Augsburg,H,H,2023/2024,100.0,58.82,6.0,2.0,64.71,2.09,4.0,7.5,0.5,1.44,6.76,5.0,5.0,16.0,2.5,9.0,3.0,10.6,100.0,1.83,5.92,2.0,5.5,1.41,1.98,2.35,5.59,4.0,4.68,0.5,1,0
2023-10-01,D1,16:30,Freiburg,Augsburg,H,H,2023/2024,33.33,58.82,3.0,1.0,64.71,1.95,4.0,8.66,0.33,1.99,4.41,5.33,4.33,13.0,4.33,7.0,2.67,9.41,66.67,1.98,4.69,2.0,4.33,1.41,1.9,1.65,5.59,1.67,4.72,1.33,0,0
