Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Referee,Season,AST,HST,AvgLast5AwayGoalsScored,AvgLast5HomeCorners,HF,AS,AF,AvgAwayGoalsConceded,AvgAwayGoalsScored,AvgHomeCorners,Last5HomeOver2.5Perc,AvgLast5HomeCornersConceded,B365AHA,MaxC_gt_2.5,AvgLast5HomeGoalsScored,B365C_gt_2.5,B365CAHA,AwayOver2.5Perc,HY,MaxC_lt_2.5,MaxAHA,PredictedTotalCorners,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,PredictedAwayCorners,HS,AvgLast5AwayCorners,PredictedTotalCorners_Last5,AvgLast5AwayCornersConceded,PredictedHomeCorners,Last5AwayOver2.5Perc,AvgLast5HomeGoalsConceded,Over2.5,OverUnder10.5Corners
2023-08-21,E0,20:00,Crystal Palace,Arsenal,A,D,D Coote,2023/2024,3,2,1.0,1.0,14,14,10,0.68,2.26,5.42,0.0,8.0,2.06,2.14,0.0,2.0,1.93,52.63,2,1.93,2.16,10.29,63.16,0.0,6.29,14,8.0,9.0,1.0,4.0,0.0,1.0,0,0
2023-09-17,E0,16:30,Everton,Arsenal,A,D,S Hooper,2023/2024,4,1,1.0,6.0,12,13,10,0.68,2.26,5.11,0.0,5.0,1.85,1.92,0.0,1.73,1.99,52.63,1,2.35,1.89,10.84,36.84,0.0,6.51,8,9.5,15.5,1.0,4.33,0.0,1.0,0,1
2023-09-30,E0,15:00,Bournemouth,Arsenal,A,A,M Salisbury,2023/2024,8,1,2.0,5.75,11,15,10,0.68,2.26,7.05,25.0,4.75,1.93,1.7,0.25,1.62,1.9,52.63,0,2.42,1.93,11.83,63.16,0.0,6.3,8,8.33,14.08,2.67,5.53,33.33,1.75,1,1
2023-10-21,E0,17:30,Chelsea,Arsenal,D,H,C Kavanagh,2023/2024,3,5,2.0,5.0,7,13,14,0.68,2.26,6.11,40.0,5.2,1.97,2.19,1.2,2.05,1.99,52.63,3,1.88,2.01,11.12,63.16,0.5,6.19,11,8.0,13.0,2.5,4.93,50.0,1.0,1,0
2023-11-04,E0,17:30,Newcastle,Arsenal,H,D,S Attwell,2023/2024,1,2,1.6,4.8,14,14,9,0.68,2.26,5.89,40.0,6.8,1.87,2.24,1.8,2.1,1.9,52.63,5,1.81,1.88,11.1,68.42,0.6,6.37,9,8.6,13.4,2.0,4.73,40.0,0.4,0,1
2023-11-25,E0,17:30,Brentford,Arsenal,A,D,T Robinson,2023/2024,4,3,1.6,3.2,9,15,7,0.68,2.26,4.84,80.0,4.4,2.02,1.99,1.8,1.96,1.78,52.63,1,2.0,2.04,10.33,68.42,0.6,6.33,9,8.6,11.8,2.0,4.0,40.0,1.6,0,0
2023-12-05,E0,20:15,Luton,Arsenal,A,A,S Barrott,2023/2024,9,4,2.2,4.6,14,23,7,0.68,2.26,6.63,60.0,6.4,1.92,1.68,1.4,1.62,1.8,52.63,2,2.48,1.92,11.55,68.42,1.2,6.39,6,8.0,12.6,2.4,5.16,60.0,1.8,1,1
2023-12-09,E0,17:30,Aston Villa,Arsenal,H,H,J Gillett,2023/2024,5,3,1.4,5.0,16,12,11,0.68,2.26,6.0,60.0,3.2,1.85,1.86,2.4,1.73,2.03,52.63,4,2.21,1.87,10.45,78.95,1.4,5.65,10,7.4,12.4,1.8,4.8,40.0,0.6,0,0
2023-12-23,E0,17:30,Liverpool,Arsenal,D,D,C Kavanagh,2023/2024,2,3,1.2,6.6,13,13,14,0.68,2.26,8.58,60.0,4.0,1.8,1.71,2.2,1.6,2.07,52.63,2,2.5,1.83,11.96,68.42,1.2,5.55,13,7.0,13.6,2.2,6.41,20.0,0.8,0,0
2023-12-31,E0,14:00,Fulham,Arsenal,H,D,J Smith,2023/2024,3,4,1.4,5.6,11,13,10,0.68,2.26,5.89,80.0,3.8,1.99,1.88,3.0,1.85,2.04,52.63,4,2.13,2.02,10.77,63.16,1.4,5.84,15,5.6,11.2,3.2,4.93,40.0,1.0,1,0
