Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,AST,HR,HST,AvgLast5AwayGoalsScored,AvgLast5HomeCorners,AvgHomeCornersConceded,HF,AvgAwayCornersConceded,AvgAwayGoalsConceded,AF,AS,Last5HomeOver2.5Perc,AvgLast5HomeCornersConceded,AvgAHA,MaxC_gt_2.5,AvgLast5HomeGoalsScored,AwayOver2.5Perc,MaxAHA,PredictedTotalCorners,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,PredictedAwayCorners,AvgC_lt_2.5,HS,MaxCAHA,AvgLast5AwayCorners,PredictedTotalCorners_Last5,AY,AvgLast5AwayCornersConceded,PredictedHomeCorners,B365CAHH,Last5AwayOver2.5Perc,AvgLast5HomeGoalsConceded,Over2.5,OverUnder10.5Corners
2024-08-24,F1,18:00,Lille,Angers,H,H,2024/2025,2,0,6,0.0,3.0,3.88,9,4.41,1.18,17,5,0.0,2.0,2.01,2.08,2.0,17.65,2.06,7.93,58.82,2.0,3.44,1.88,11,2.11,2.0,5.0,2,3.0,4.49,1.86,0.0,0.0,0,0
2024-09-15,F1,16:00,Strasbourg,Angers,D,H,2024/2025,2,0,5,0.5,4.0,4.71,11,4.41,1.18,14,12,50.0,7.0,1.92,1.98,2.0,17.65,2.0,8.78,70.59,1.5,4.5,1.91,10,2.13,5.5,9.5,1,4.5,4.28,1.75,0.0,1.0,0,1
2024-10-04,F1,19:45,Marseille,Angers,D,D,2024/2025,3,1,4,0.67,4.0,2.71,12,4.41,1.18,9,8,33.33,3.0,1.95,1.58,1.67,17.65,2.03,8.52,64.71,1.33,3.51,2.49,13,1.92,4.67,8.67,0,6.0,5.01,2.04,0.0,1.0,0,1
2024-10-20,F1,16:00,Toulouse,Angers,D,A,2024/2025,4,0,6,0.75,5.8,3.24,11,4.41,1.18,9,8,40.0,3.8,1.83,2.0,1.0,17.65,1.86,8.87,47.06,1.25,3.66,1.91,18,2.15,4.0,9.8,4,6.5,5.21,1.75,0.0,1.2,0,0
2024-11-01,F1,18:00,Monaco,Angers,A,A,2024/2025,3,0,3,0.8,5.8,3.88,16,4.41,1.18,12,10,40.0,3.6,1.86,1.43,1.2,17.65,1.93,8.7,58.82,1.0,3.8,3.07,11,2.07,4.0,9.8,1,6.0,4.9,1.91,0.0,0.8,0,0
2024-11-24,F1,16:00,Auxerre,Angers,H,D,2024/2025,5,0,6,0.8,2.6,6.12,13,4.41,1.18,7,10,80.0,5.6,1.81,1.89,2.0,17.65,1.87,8.48,58.82,0.8,4.56,2.04,10,1.93,4.0,6.6,1,5.8,3.92,2.03,0.0,0.8,0,0
2024-12-01,F1,16:00,Le Havre,Angers,A,D,2024/2025,3,0,1,0.8,3.4,5.35,8,4.41,1.18,10,12,60.0,6.4,1.88,2.47,0.2,17.65,1.91,8.27,70.59,0.6,4.35,1.61,5,1.94,3.0,6.4,0,5.0,3.92,1.99,0.0,2.2,0,0
2024-12-15,F1,16:00,Rennes,Angers,H,H,2024/2025,0,0,4,0.6,7.4,3.29,18,4.41,1.18,12,3,40.0,1.8,2.03,2.14,1.8,17.65,2.13,8.7,47.06,0.8,3.33,1.78,7,2.12,2.6,10.0,1,3.6,5.37,1.87,0.0,0.8,0,0
2025-01-12,F1,16:15,Montpellier,Angers,A,A,2024/2025,8,2,3,1.0,4.6,4.71,11,4.41,1.18,15,21,100.0,3.8,2.03,2.06,1.6,17.65,2.09,8.67,70.59,0.8,3.91,1.82,8,1.85,2.8,7.4,2,2.6,4.76,2.08,20.0,2.2,1,0
2025-01-26,F1,16:15,Lens,Angers,H,D,2024/2025,0,0,4,0.8,5.8,2.65,16,4.41,1.18,10,2,40.0,1.8,1.84,2.0,1.0,17.65,1.89,8.79,35.29,1.0,3.19,2.0,16,2.16,2.8,8.6,1,2.6,5.6,1.85,20.0,1.2,0,0
