Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,HST,AvgLast5AwayGoalsScored,AS,AvgLast5HomeCorners,AvgAwayCornersConceded,HF,AF,AvgAwayGoalsScored,AvgAwayGoalsConceded,Last5HomeOver2.5Perc,AvgLast5HomeCornersConceded,AvgAHA,AvgLast5HomeGoalsScored,Last5AwayOver2.5Perc,AwayOver2.5Perc,MaxC_lt_2.5,AvgC_gt_2.5,PredictedTotalCorners,HomeOver2.5Perc,AvgHomeGoalsConceded,AvgLast5AwayGoalsConceded,PredictedAwayCorners,HS,AvgLast5AwayCorners,PredictedTotalCorners_Last5,AvgLast5AwayCornersConceded,PredictedHomeCorners,AvgHomeGoalsScored,AST,AvgLast5HomeGoalsConceded,Over2.5,OverUnder10.5Corners
2023-08-20,I1,17:30,Sassuolo,Atalanta,A,D,2023/2024,3,2.0,16,7.0,4.16,9,13,1.58,1.37,0.0,7.0,1.84,0.0,0.0,63.16,2.43,1.67,10.46,47.37,1.79,0.0,5.13,11,7.0,14.0,7.0,5.33,1.21,6,2.0,0,1
2023-08-26,I1,17:30,Frosinone,Atalanta,H,H,2023/2024,5,1.5,18,3.5,4.16,10,10,1.58,1.37,100.0,6.5,1.84,1.5,50.0,63.16,2.21,1.73,10.51,73.68,1.68,1.0,5.06,13,7.0,10.5,5.0,5.45,1.47,6,2.0,1,0
2023-09-17,I1,17:00,Fiorentina,Atalanta,H,H,2023/2024,8,1.67,11,3.0,4.16,8,14,1.58,1.37,100.0,3.5,2.06,2.5,66.67,63.16,2.03,1.87,9.2,68.42,1.16,1.67,4.3,15,6.0,9.0,4.33,4.9,1.95,4,2.0,1,0
2023-09-27,I1,17:30,Verona,Atalanta,A,A,2023/2024,2,1.5,8,2.67,4.16,10,25,1.58,1.37,33.33,5.67,1.82,0.67,50.0,63.16,1.97,1.99,9.26,57.89,1.37,1.25,5.04,11,4.75,7.42,4.25,4.22,1.21,2,0.67,0,0
2023-10-08,I1,14:00,Lazio,Atalanta,H,H,2023/2024,4,1.6,12,6.0,4.16,7,10,1.58,1.37,25.0,3.0,1.85,1.5,60.0,63.16,1.83,2.11,9.26,26.32,0.74,1.6,4.22,12,5.0,11.0,4.2,5.04,1.21,4,1.0,1,0
2023-10-30,I1,17:30,Empoli,Atalanta,A,A,2023/2024,2,1.8,18,4.8,4.16,10,13,1.58,1.37,20.0,5.6,1.87,0.2,80.0,63.16,2.23,1.71,9.4,31.58,1.21,1.6,5.02,9,4.8,9.6,3.4,4.38,0.79,6,1.2,1,0
2023-11-12,I1,14:00,Udinese,Atalanta,D,H,2023/2024,4,1.8,8,5.4,4.16,13,13,1.58,1.37,20.0,4.4,2.04,0.8,60.0,63.16,1.96,1.95,9.48,47.37,1.53,1.4,4.85,13,4.8,10.2,4.2,4.63,1.11,2,1.2,0,1
2023-12-04,I1,19:45,Torino,Atalanta,H,H,2023/2024,5,1.4,10,6.4,4.16,12,14,1.58,1.37,60.0,2.2,2.09,1.2,60.0,63.16,1.71,2.24,9.34,26.32,0.47,1.4,4.04,9,4.6,11.0,4.4,5.3,0.95,4,1.0,1,0
2023-12-23,I1,14:00,Bologna,Atalanta,H,D,2023/2024,1,1.2,12,2.2,4.16,10,14,1.58,1.37,20.0,4.0,1.95,1.6,60.0,63.16,1.63,2.42,8.73,36.84,0.63,1.6,4.29,9,5.0,7.2,4.0,4.44,1.74,2,0.2,0,0
2024-01-07,I1,19:45,Roma,Atalanta,D,D,2023/2024,6,1.0,8,4.6,4.16,14,14,1.58,1.37,40.0,2.8,1.84,1.8,40.0,63.16,1.69,2.3,8.98,52.63,1.0,1.2,4.35,16,4.8,9.4,4.4,4.63,2.0,2,0.8,0,1
2024-02-11,I1,17:00,Genoa,Atalanta,A,A,2023/2024,6,1.2,14,6.4,4.16,8,13,1.58,1.37,40.0,5.2,2.09,1.0,40.0,63.16,1.73,2.25,9.52,42.11,1.16,1.4,4.69,15,4.4,10.8,5.2,4.83,1.42,9,1.4,1,1
2024-02-25,I1,19:45,Milan,Atalanta,D,D,2023/2024,7,1.2,8,3.6,4.16,12,16,1.58,1.37,40.0,3.2,1.81,1.6,40.0,63.16,2.13,1.77,9.09,52.63,0.89,1.4,4.14,20,3.6,7.2,4.8,4.95,2.0,3,0.8,0,0
2024-02-28,I1,19:45,Inter,Atalanta,H,H,2023/2024,7,1.2,6,10.2,4.16,10,15,1.58,1.37,60.0,1.4,2.07,2.6,40.0,63.16,2.21,1.73,10.29,52.63,0.58,1.6,3.7,15,3.2,13.4,4.8,6.59,2.32,1,0.2,1,0
2024-03-10,I1,17:00,Juventus,Atalanta,D,A,2023/2024,5,1.6,7,6.2,4.16,12,10,1.58,1.37,60.0,3.8,1.9,1.8,60.0,63.16,1.67,2.28,9.68,26.32,0.58,1.8,4.14,18,3.2,9.4,5.2,5.54,1.37,3,1.2,1,0
2024-03-30,I1,11:30,Napoli,Atalanta,A,A,2023/2024,6,2.0,12,7.6,4.16,6,13,1.58,1.37,60.0,3.4,2.03,1.2,80.0,63.16,2.02,1.87,10.43,63.16,1.42,1.6,3.98,20,3.2,10.8,5.4,6.45,1.26,6,1.4,1,1
2024-04-07,I1,17:00,Cagliari,Atalanta,H,D,2023/2024,3,1.4,7,5.4,4.16,16,19,1.58,1.37,60.0,4.2,1.9,1.8,80.0,63.16,2.04,1.84,9.45,63.16,1.68,1.8,4.58,11,3.2,8.6,4.8,4.87,1.47,2,1.6,1,0
2024-04-21,I1,19:45,Monza,Atalanta,A,A,2023/2024,2,1.6,12,3.8,4.16,8,13,1.58,1.37,80.0,5.4,1.9,1.8,100.0,63.16,2.12,1.84,9.1,42.11,1.37,1.8,4.57,17,4.2,8.0,4.2,4.53,1.21,6,2.4,1,0
2024-05-06,I1,17:00,Salernitana,Atalanta,A,H,2023/2024,2,2.0,17,4.2,4.16,12,10,1.58,1.37,40.0,6.6,1.99,0.6,100.0,63.16,2.84,1.48,9.63,68.42,2.0,1.2,5.18,9,5.4,9.6,3.6,4.45,0.89,4,1.8,1,0
2024-05-18,I1,17:00,Lecce,Atalanta,A,D,2023/2024,3,2.0,19,5.6,4.16,7,20,1.58,1.37,0.0,3.8,1.98,0.4,80.0,63.16,2.03,1.88,9.34,36.84,1.42,0.8,4.55,11,5.8,11.4,3.2,4.79,0.89,9,1.0,0,0
2024-08-19,I1,17:30,Lecce,Atalanta,A,A,2024/2025,5,4.0,10,5.0,3.58,10,24,2.21,0.68,100.0,3.0,1.87,0.0,100.0,57.89,1.88,2.02,9.11,42.11,1.63,0.0,4.38,19,3.0,8.0,5.0,4.73,0.68,6,4.0,1,0
2024-08-25,I1,17:30,Torino,Atalanta,H,D,2024/2025,6,2.5,24,4.0,3.58,8,13,2.21,0.68,100.0,6.0,1.99,2.0,100.0,57.89,1.87,2.04,8.8,15.79,0.95,1.0,4.54,13,4.5,8.5,4.5,4.26,0.89,8,1.0,1,0
2024-08-30,I1,19:45,Inter,Atalanta,H,H,2024/2025,5,1.67,11,6.5,3.58,6,15,2.21,0.68,50.0,5.0,1.92,3.0,100.0,57.89,2.39,1.64,9.96,63.16,1.11,2.0,4.16,13,4.33,10.83,4.0,5.8,2.11,1,0.0,1,0
2024-09-28,I1,19:45,Bologna,Atalanta,D,D,2024/2025,1,1.5,23,5.0,3.58,16,12,2.21,0.68,0.0,5.67,2.08,1.0,75.0,57.89,1.79,2.17,9.68,47.37,0.95,1.75,4.4,5,5.5,10.5,3.5,5.28,1.74,5,1.0,0,1
2024-10-20,I1,14:00,Venezia,Atalanta,A,A,2024/2025,4,1.6,16,2.67,3.58,12,6,2.21,0.68,0.0,4.0,1.78,0.67,60.0,57.89,2.51,1.58,8.49,31.58,1.16,1.4,4.81,12,5.4,8.07,3.2,3.68,0.89,7,1.0,0,0
2024-11-03,I1,11:30,Napoli,Atalanta,A,A,2024/2025,3,1.4,12,6.2,3.58,10,8,2.21,0.68,60.0,3.2,2.05,1.6,60.0,57.89,1.92,2.0,9.76,47.37,0.68,1.4,4.18,13,5.4,11.6,3.0,5.58,1.68,3,1.0,1,0
