Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,HST,AvgLast5AwayGoalsScored,AS,HF,AvgAwayCornersConceded,AvgHomeCorners,Last5HomeOver2.5Perc,AvgLast5HomeGoalsScored,AwayOver2.5Perc,MaxAHA,PredictedTotalCorners,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,MaxCAHA,AvgLast5AwayCorners,AvgLast5AwayCornersConceded,PredictedHomeCorners,AvgHomeGoalsScored,Last5AwayOver2.5Perc,AST,AvgLast5HomeGoalsConceded,AvgLast5HomeCorners,AF,AvgLast5HomeCornersConceded,MaxC_gt_2.5,PredictedAwayCorners,HS,AvgAHH,PredictedTotalCorners_Last5,AvgAwayCorners,B365C_lt_2.5,Over2.5,OverUnder10.5Corners
2023-08-14,SP1,18:30,Cadiz,Alaves,H,H,2023/2024,3,0.0,10,19,4.53,4.74,0.0,1.0,31.58,2.05,8.07,26.32,1.0,1.99,4.0,2.0,4.14,0.84,0.0,2,0.0,2.0,15,4.0,3.1,3.93,12,1.85,6.0,4.26,1.4,0,0
2023-08-28,SP1,18:30,Getafe,Alaves,H,D,2023/2024,4,0.0,16,13,4.53,4.16,0.0,0.5,31.58,1.99,8.34,31.58,1.0,1.91,4.5,3.0,4.07,1.05,0.0,2,0.0,3.5,15,4.5,4.1,4.27,15,1.91,8.0,4.26,1.25,0,0
2023-09-15,SP1,20:00,Vallecano,Alaves,H,H,2023/2024,11,0.0,9,15,4.53,5.79,50.0,1.0,31.58,1.91,9.24,36.84,1.33,1.89,4.0,3.67,5.33,0.95,0.0,1,3.5,6.5,14,3.0,2.75,3.91,20,2.0,10.5,4.26,1.5,0,0
2023-09-28,SP1,18:00,Celta,Alaves,D,H,2023/2024,0,0.25,21,9,4.53,5.79,0.0,0.25,31.58,1.99,9.28,42.11,1.25,2.25,5.0,3.25,5.19,1.11,0.0,11,1.25,5.5,11,4.0,2.35,4.09,8,1.92,10.5,4.26,1.67,0,0
2023-10-22,SP1,17:30,Villarreal,Alaves,D,D,2023/2024,3,0.4,16,15,4.53,6.05,80.0,1.6,31.58,1.99,9.74,73.68,1.2,1.91,4.6,4.4,5.5,1.89,0.0,7,2.0,6.0,10,4.6,2.14,4.24,12,1.91,10.6,4.26,1.73,0,1
2023-10-29,SP1,20:00,Ath Madrid,Alaves,H,H,2023/2024,7,0.6,8,10,4.53,4.21,100.0,2.6,31.58,2.01,9.01,78.95,1.4,2.06,4.6,4.8,4.31,2.21,20.0,1,1.2,3.8,11,5.0,2.01,4.7,11,1.88,8.4,4.26,1.89,1,0
2023-11-12,SP1,15:15,Barcelona,Alaves,H,A,2023/2024,6,0.8,8,11,4.53,7.26,60.0,1.6,31.58,1.97,9.9,57.89,1.6,1.98,3.8,4.4,6.11,2.26,40.0,1,1.0,5.4,10,3.4,1.66,3.79,11,1.93,9.2,4.26,2.35,1,0
2023-12-03,SP1,13:00,Mallorca,Alaves,D,D,2023/2024,3,0.8,7,16,4.53,6.0,20.0,0.8,31.58,1.88,9.4,26.32,1.2,2.18,4.0,4.4,5.47,0.89,40.0,4,0.8,6.0,15,3.0,3.04,3.93,7,2.05,10.0,4.26,1.4,0,0
2023-12-18,SP1,20:00,Girona,Alaves,H,H,2023/2024,4,0.6,12,9,4.53,4.32,60.0,2.4,31.58,2.0,8.45,68.42,1.6,1.93,2.8,4.6,4.51,2.79,60.0,2,0.8,5.4,7,3.4,1.84,3.94,9,1.92,8.2,4.26,2.06,1,0
2024-01-02,SP1,18:15,Sociedad,Alaves,D,D,2023/2024,6,0.6,7,9,4.53,5.74,20.0,0.8,31.58,1.86,9.14,31.58,1.6,2.0,3.0,4.0,5.15,1.37,60.0,2,0.6,4.6,17,4.6,2.44,3.99,16,2.06,7.6,4.26,1.6,0,0
2024-01-12,SP1,20:00,Sevilla,Alaves,A,A,2023/2024,4,1.0,16,12,4.53,5.37,40.0,0.8,31.58,1.98,9.3,57.89,1.6,1.92,3.0,4.2,5.13,1.42,60.0,8,2.0,6.2,13,3.8,2.5,4.17,19,1.93,9.2,4.26,1.53,1,0
2024-01-26,SP1,20:00,Almeria,Alaves,A,A,2023/2024,7,1.4,11,17,4.53,4.74,40.0,0.2,31.58,2.08,9.12,68.42,1.2,1.97,3.4,6.0,4.9,1.16,60.0,3,1.2,5.6,12,4.2,2.47,4.22,19,1.84,9.0,4.26,1.57,1,1
2024-02-18,SP1,20:00,Betis,Alaves,D,D,2023/2024,2,1.4,13,13,4.53,6.0,20.0,1.0,31.58,2.13,10.07,36.84,1.2,2.0,4.2,6.2,5.69,1.42,60.0,4,1.2,6.4,9,4.8,2.61,4.38,13,1.79,10.6,4.26,1.5,0,1
2024-03-04,SP1,20:00,Osasuna,Alaves,H,D,2023/2024,4,1.4,10,15,4.53,5.16,40.0,1.4,31.58,1.88,9.35,26.32,0.8,1.94,4.8,6.6,5.13,1.0,40.0,4,1.0,5.0,11,3.6,2.8,4.22,15,2.01,9.8,4.26,1.44,0,0
2024-03-16,SP1,20:00,Ath Bilbao,Alaves,H,H,2023/2024,4,1.2,7,7,4.53,5.95,60.0,2.2,31.58,1.92,9.61,57.89,1.0,1.85,4.8,6.4,5.51,2.21,40.0,3,0.6,4.6,13,3.8,2.4,4.1,16,1.98,9.4,4.26,1.62,0,0
2024-04-14,SP1,15:15,Granada,Alaves,H,H,2023/2024,3,0.6,8,16,4.53,4.47,20.0,1.2,31.58,2.16,9.3,47.37,1.0,2.09,5.0,5.6,4.59,1.26,20.0,3,1.2,4.4,11,5.6,2.5,4.71,9,1.76,9.4,4.26,1.57,0,0
2024-05-05,SP1,17:30,Valencia,Alaves,A,D,2023/2024,1,0.2,14,9,4.53,4.11,40.0,0.8,31.58,2.16,8.75,36.84,1.0,2.04,5.8,4.4,4.27,1.05,0.0,4,1.0,4.4,17,4.6,2.66,4.48,13,1.76,10.2,4.26,1.53,0,1
