league,target,timestamp,Accuracy,Precision,Recall,F1-Score,ROC-AUC
D1,Over2.5,2026-01-20T19:44:55.985717,0.8522307424189612,0.8540738109867825,0.8522307424189612,0.8509067911938825,0.9211618109956691
I1,Over2.5,2026-01-20T19:44:59.671739,0.8177083333333334,0.8203009835074205,0.8177083333333334,0.8173003524683452,0.8990532373352004
E1,Over2.5,2026-01-20T19:45:14.512593,0.8271139115394119,0.8279059648729608,0.8271139115394119,0.8269164299220237,0.9167377113087853
SP1,Over2.5,2026-01-20T19:45:25.430997,0.8472514619883039,0.8481476687663105,0.8472514619883039,0.8471976206643381,0.919833463121593
E0,Over2.5,2026-01-20T19:45:28.886471,0.8101169809305059,0.8120351967419663,0.8101169809305059,0.8086008650235105,0.8975381710313295
F1,Over2.5,2026-01-20T19:45:31.478326,0.7960784313725491,0.797470616946094,0.7960784313725491,0.7952112037364527,0.8879422878735829
N1,Over2.5,2026-01-20T19:45:34.719540,0.8105095541401273,0.8132553235441845,0.8105095541401273,0.8084193026516235,0.8846253990042596
D1,OverUnder10.5Corners,2026-01-20T19:45:38.794900,0.732093063785291,0.7372707447553861,0.732093063785291,0.7258933628238297,0.8137602316938851
I1,OverUnder10.5Corners,2026-01-20T19:45:41.127015,0.7385416666666667,0.7355874746876833,0.7385416666666667,0.7255366760846704,0.8031018210654508
E1,OverUnder10.5Corners,2026-01-20T19:45:46.891108,0.7280380528786756,0.7283059016522899,0.7280380528786756,0.7258505190326312,0.802309102916755
SP1,OverUnder10.5Corners,2026-01-20T19:45:51.153329,0.7671623503202449,0.7644795206987764,0.7671623503202449,0.7593923213410396,0.8317442523388721
E0,OverUnder10.5Corners,2026-01-20T19:45:56.645927,0.7069440735003473,0.7104692839119024,0.7069440735003473,0.7047086898415981,0.7766067053513862
F1,OverUnder10.5Corners,2026-01-20T19:46:00.925003,0.7607843137254902,0.7651658657382352,0.7607843137254902,0.741905761536621,0.8042264150943396
N1,OverUnder10.5Corners,2026-01-20T19:46:03.677741,0.7247509390821492,0.727071133192507,0.7247509390821492,0.721850724958287,0.80446450639575
